%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1.57E+18,871385,1.57E+18,0.650424549,-0.262305726,0.404429793,-0.055016607,0.034017726,0.706775949,0.704474078,-0.679094683,-0.008031237,-0.074904385,-0.268356404,0.41152644,0.008552253,-3.234377908,-0.696798017,1.124327289,-0.130764168,0.022481087,0.666877454,1
1.57E+18,871386,1.57E+18,0.650647787,-0.269333451,0.404604805,-0.057609375,0.034534444,0.707255663,0.703759873,-0.695721595,-0.010682694,-0.077335306,-0.258996744,0.429650947,0.036655475,-2.231504368,-0.669660908,1.692870495,-0.166690137,0.111197673,0.610172316,1
1.57E+18,871387,1.57E+18,0.650767391,-0.276550694,0.404744498,-0.06033543,0.035031075,0.707077403,0.703686014,-0.7139559,-0.004672047,-0.083033733,-0.297398211,0.446879941,0.110688465,-1.46557367,2.105926303,3.447414354,0.309803416,0.328968176,0.632648824,1
1.57E+18,871388,1.57E+18,0.650886862,-0.283870387,0.404922929,-0.063032003,0.035866708,0.707219857,0.70326426,-0.724402269,0.002909243,-0.089218315,-0.273619104,0.486420075,-0.004635989,-3.299836339,-1.346078447,1.663410783,-0.20560411,0.432463875,0.653222797,1
1.57E+18,871389,1.57E+18,0.65091608,-0.291234117,0.40495519,-0.066249562,0.036773743,0.70767141,0.702466984,-0.733137691,0.007995875,-0.096583964,-0.262558025,0.547357295,0.127961547,-3.061567715,-1.787255398,1.14129391,-0.247264089,0.172980022,0.644398169,1
1.57E+18,871390,1.57E+18,0.650977964,-0.298821587,0.405081871,-0.06917872,0.037600093,0.707299045,0.702515907,-0.747253563,0.016339819,-0.107663188,-0.313289757,0.581248288,0.043434568,-1.416506977,-0.63304813,2.127262012,0.097087477,-0.202016365,0.618833213,1
1.57E+18,871391,1.57E+18,0.651095402,-0.306617566,0.405230649,-0.07142234,0.038623854,0.707669182,0.70186279,-0.767540588,0.011145828,-0.109116752,-0.215036251,0.520142788,0.001977599,-1.391573758,0.027890451,1.218672199,-0.300190943,-0.249753406,0.653700034,1
1.57E+18,871392,1.57E+18,0.650956952,-0.31453416,0.405367366,-0.074451962,0.039275841,0.707411582,0.70177145,-0.785175635,0.017400351,-0.113400086,-0.206018157,0.486065996,0.102291454,-2.479241656,-0.11138552,1.375727311,-0.435882833,-0.002359504,0.660057759,1
1.57E+18,871393,1.57E+18,0.65079052,-0.322589505,0.40537675,-0.077340639,0.040405073,0.707737626,0.701065838,-0.800281272,0.039066086,-0.126299532,-0.287334019,0.548763682,-0.019383772,-4.372924469,-2.329569121,1.344932455,-0.332569889,0.48580942,0.635264671,1
1.57E+18,871394,1.57E+18,0.650583781,-0.330760187,0.405501288,-0.080317906,0.041639967,0.707619615,0.700777873,-0.802563064,0.041313216,-0.133086369,-0.232378356,0.606153828,0.117472467,-3.036264223,-1.134487821,1.898730386,0.060218155,0.503142279,0.669457897,1
1.57E+18,871395,1.57E+18,0.650351699,-0.339019328,0.405514932,-0.083288341,0.043230925,0.707283417,0.700674181,-0.813587976,0.045371574,-0.140128745,-0.194177617,0.618908415,-0.013776115,-2.389441011,0.274446205,2.415627364,0.045883891,0.458071183,0.591974255,1
1.57E+18,871396,1.57E+18,0.65002155,-0.347331628,0.405470536,-0.086261157,0.045058514,0.70753226,0.699947744,-0.823926882,0.054147542,-0.157080735,-0.144717732,0.666007145,0.061620675,-2.383581556,1.914598746,1.688833701,-0.142366684,-0.098713911,0.596010492,1
1.57E+18,871397,1.57E+18,0.649496119,-0.355972993,0.405479298,-0.089027452,0.046516373,0.707030954,0.70001255,-0.83339719,0.067625531,-0.167344456,-0.141356488,0.683694564,0.011768847,-3.215083607,-1.269970793,1.341959654,-0.297165287,-0.046991507,0.702375424,1
1.57E+18,871398,1.57E+18,0.648947269,-0.364609126,0.405508715,-0.091076068,0.047941601,0.707265644,0.699415514,-0.852514401,0.083496315,-0.168841571,-0.123654216,0.576276931,0.015074783,-1.414392278,1.000022064,2.201338895,-0.128031885,-0.008168237,0.596121617,1
1.57E+18,871399,1.57E+18,0.648235353,-0.373258851,0.405417718,-0.093814493,0.049923936,0.70660692,0.699580661,-0.860378421,0.090207876,-0.172502059,-0.064314781,0.544771747,0.022784018,-2.830643416,-0.106646572,1.463932908,-0.407393935,0.499725065,0.598188339,1
1.57E+18,871400,1.57E+18,0.647426551,-0.381846801,0.405265958,-0.096973586,0.052204379,0.7067297,0.69885904,-0.848256003,0.104573801,-0.190828941,-0.072271048,0.711897331,-0.024465574,-2.780111268,-0.769066968,1.715625886,0.169024286,0.505268619,0.580712774,1
1.57E+18,871401,1.57E+18,0.64647128,-0.390630864,0.405172167,-0.099285152,0.054368954,0.706125306,0.698980348,-0.850225802,0.118919851,-0.199342072,-0.055086146,0.742878533,0.054529249,-2.182002357,0.697550775,2.623739401,0.43538908,0.446406977,0.622740833,1
1.57E+18,871402,1.57E+18,0.645451468,-0.39946116,0.404952921,-0.101277124,0.057223915,0.706019011,0.698573922,-0.864981528,0.128763314,-0.208335618,0.083179999,0.653751565,-0.056234182,-1.967478136,3.115898665,2.122004317,-0.137088063,0.135914397,0.608647745,1
1.57E+18,871403,1.57E+18,0.644182507,-0.408309361,0.404750383,-0.103986109,0.05971279,0.705387065,0.698606012,-0.861170662,0.140100829,-0.2218401,0.12014258,0.706771316,0.047708578,-2.979070316,2.13599023,1.682933448,-0.418533029,-0.213034988,0.612415297,1
1.57E+18,871404,1.57E+18,0.642831416,-0.417193441,0.404614738,-0.105933598,0.062005649,0.705137334,0.698365745,-0.860471085,0.164360283,-0.223314092,0.014468921,0.704791292,-0.060361118,-3.249023243,1.855127338,1.725944809,-0.198671582,-0.29774376,0.451015128,1
1.57E+18,871405,1.57E+18,0.641431884,-0.426086514,0.404513899,-0.107561551,0.064383103,0.704658863,0.698384719,-0.872164511,0.168615114,-0.223356494,0.121666454,0.583114399,0.027218873,-3.363597326,1.859207845,1.701792535,-0.154155467,0.505328019,0.592152291,1
1.57E+18,871406,1.57E+18,0.639823099,-0.434810931,0.40435383,-0.109589638,0.066967091,0.704159014,0.698330582,-0.858265265,0.177432446,-0.228669306,0.148167045,0.592305249,-0.056893492,-0.10542186,5.353959557,3.714854184,0.702123411,0.693115601,0.554065851,1
1.57E+18,871407,1.57E+18,0.638073096,-0.443426862,0.40404019,-0.11152041,0.069962829,0.703919114,0.697972981,-0.842052094,0.197565768,-0.235668975,0.137268498,0.684990984,0.032952977,-0.421633698,4.585112996,2.968586639,0.551488891,0.317024801,0.526166925,1
1.57E+18,871408,1.57E+18,0.636261593,-0.452027938,0.403731374,-0.112973371,0.072862127,0.703310115,0.698056595,-0.832830013,0.208259234,-0.248135954,0.209819148,0.686814637,-0.036838859,-2.040221666,1.306275233,1.397444638,-0.262536343,-0.011603647,0.554676186,1
1.57E+18,871409,1.57E+18,0.634324796,-0.460634002,0.40353382,-0.114274573,0.07543886,0.70316104,0.697721186,-0.829440897,0.217559046,-0.249106736,0.241157947,0.601302221,0.000558269,-1.867850199,1.623436622,1.808931574,-0.613990938,-0.21608729,0.52813987,1
1.57E+18,871410,1.57E+18,0.632303606,-0.469030294,0.403276124,-0.115739492,0.078034855,0.702242684,0.698119004,-0.820426063,0.225909721,-0.24732341,0.206046161,0.558695255,-0.008229623,0.115628239,3.604956699,3.754723043,-0.146842887,-0.182777748,0.526777633,1
1.57E+18,871411,1.57E+18,0.630249307,-0.477230194,0.403053615,-0.116960116,0.080784064,0.702254915,0.697590353,-0.80019972,0.231439215,-0.248665011,0.218622986,0.570685027,-0.062769209,-0.467731615,3.378872686,3.33395014,0.100293552,0.144671644,0.530909812,1
1.57E+18,871412,1.57E+18,0.627986363,-0.485291992,0.402795203,-0.118401066,0.083271841,0.701510046,0.697804158,-0.780276684,0.23723999,-0.244213604,0.218797575,0.55081193,0.039632885,-1.6288675,1.347402481,2.51338388,0.134648704,0.557939868,0.572611767,1
1.57E+18,871413,1.57E+18,0.625759016,-0.493201976,0.402525915,-0.119586353,0.086139696,0.700888455,0.697878521,-0.763038476,0.248672932,-0.248856759,0.224170069,0.564019918,-0.081496725,-0.715701359,1.212245239,2.523937641,-0.079211341,0.235772428,0.356411939,1
1.57E+18,871414,1.57E+18,0.623502152,-0.500932152,0.402292266,-0.120604357,0.088911235,0.700476094,0.697769749,-0.748042559,0.247330686,-0.250570269,0.285921823,0.567977906,0.015760927,0.247417061,2.426332424,3.1399803,-0.318104016,-0.196296921,0.48307735,1
1.57E+18,871415,1.57E+18,0.621179486,-0.508491833,0.402032449,-0.121374823,0.091267454,0.699913301,0.697896679,-0.734509151,0.252029307,-0.247826365,0.274720506,0.507661537,-0.061200312,0.525333609,2.431533876,3.325282899,-0.55277137,-0.379997881,0.510215479,1
1.57E+18,871416,1.57E+18,0.618858665,-0.515844136,0.401846101,-0.122174778,0.093571551,0.699747755,0.697617924,-0.713963533,0.253159267,-0.241206886,0.25184054,0.440448096,-0.036558095,-1.903670171,0.22420008,1.395157207,-1.004279192,-0.17388167,0.510092228,1
1.57E+18,871417,1.57E+18,0.61647268,-0.523002891,0.401758887,-0.123283283,0.095577373,0.699029486,0.697871031,-0.692311108,0.253306251,-0.235460228,0.21522928,0.453680878,0.010176766,-2.443603749,-1.060746568,2.253685979,-0.231883652,0.427252489,0.539463917,1
1.57E+18,871418,1.57E+18,0.614235048,-0.529908006,0.401620823,-0.123866055,0.097807663,0.698435414,0.698053604,-0.672995434,0.252740621,-0.228153605,0.202694907,0.42270527,-0.094799684,-0.939155963,-0.784294341,2.959360688,0.022739933,0.562167353,0.224341374,1
1.57E+18,871419,1.57E+18,0.611956384,-0.53675115,0.401406529,-0.124500648,0.100694919,0.698115702,0.697849975,-0.659691398,0.244136783,-0.225356105,0.288468874,0.419124527,-0.020147974,-0.013048839,1.605393806,3.0986107,-0.275139425,0.267490987,0.437929292,1
1.57E+18,871420,1.57E+18,0.609651415,-0.543300031,0.401209428,-0.12548793,0.102877219,0.697229795,0.69824041,-0.636566734,0.243493991,-0.230374545,0.289350337,0.49477475,-0.028167898,-0.061592616,1.698092424,2.699821756,-0.397167235,-0.332886983,0.442208887,1
1.57E+18,871421,1.57E+18,0.607362738,-0.549824393,0.401219005,-0.125598412,0.104582559,0.696840835,0.698355481,-0.619865638,0.243699521,-0.219904622,0.22891107,0.387180849,-0.098413979,0.942053198,1.997483143,3.586128324,-0.495278766,-0.386326256,0.33653558,1
